theta1,theta2,omega1,omega2
3.3352518787409204,2.037806249093074,-0.0158594973088916,-0.0801283837873967
5.764573332057127,1.5900024392614518,0.055109569907084,-1.9377584357087545
6.836564001231733,4.608914742503506,-0.6774039602550957,5.205009832270084
0.7200984846373129,7.84218696908109,0.6489478338208966,-5.244417656079796
0.0137621029370616,0.2626653119203771,1.0508415555787889,0.0194775264792718
0.3919268960835863,3.33723097958119,-0.7641714649680067,3.611595472160474
-0.0137621029370616,-0.2626653119203771,-1.0508415555787889,-0.0194775264792718
-0.0133327936157013,-0.2586137731053365,-1.031167821543285,0.1753665135144622
-0.0130944457242917,-0.2583246443106362,-1.0113962036288062,0.3721592295245335
-0.0130485362634436,-0.2618401967229178,-0.9915228923665328,0.5710115410139834
-0.0131965813219248,-0.2692039290683381,-0.9715439554500768,0.7720394339634681
-0.0135401318657753,-0.2804603592908483,-0.95145532511371,0.9753637320461094
-0.0140807685368903,-0.295654715561738,-0.93125280298471,1.1811097567314035
-0.0148200977154819,-0.314832601127923,-0.9109320684913854,1.3894069679612195
-0.0157597410498677,-0.3380394273685692,-0.8904886856287241,1.6003883042105245
-0.016901328767061,-0.3653198480477315,-0.8699181140040957,1.8141895414557687
-0.0182464856116241,-0.3967169003955286,-0.8492157234470878,2.0309482709997737
-0.017022128047334,-0.3288449394070106,-0.8523000830347559,-0.0481807568538577
-0.0165596645506884,-0.3234849068396072,-0.8327629619495012,0.1437504051498493
-0.0162788559281673,-0.321656668817207,-0.813104553968119,0.3380359450194469
-0.0161808208854008,-0.3233884049975594,-0.7933217155884014,0.5347622600139237
-0.0162666204086255,-0.3287054645416642,-0.7734112766058613,0.7340160627968267
-0.0165372558509925,-0.337629816186639,-0.7533700468581582,0.935883584444862
-0.0169936332217595,-0.3501788523422366,-0.7331948499135782,1.1404491743800609
-0.0176365561743926,-0.3663643585798313,-0.7128825419407236,1.3477940103530326
-0.018466692197928,-0.3861910931100335,-0.692430045088799,1.5579943298589665
-0.0194845687742272,-0.4096554909108767,-0.6718343682778762,1.771119721105661
-0.020690516118906,-0.43674362470398,-0.6510926579923725,1.987230639947992
-0.0183992529792026,-0.3585606101624419,-0.6562479977510233,-0.1252112643214279
-0.0178844224658151,-0.3509121448107813,-0.6368656794972428,0.0626185128031617
-0.0175324624300596,-0.34635687605471,-0.6173545543754168,0.2528538861458964
-0.0173431556385232,-0.3448804386927033,-0.5977131839845127,0.4455257565605858
-0.0173160918161856,-0.346459670996851,-0.577940306026276,0.6406574756584554
-0.0174505816309929,-0.3510617971496848,-0.5580348274579406,0.8382636800812918
-0.0177457393022066,-0.3586418851196895,-0.537995943205247,1.0383472967331646
-0.0182003460893803,-0.3691424919938249,-0.5178230978376118,1.2408985772167629
-0.0188128650093294,-0.3824912803468999,-0.4975160660890357,1.4458923707939602
-0.0195813960716537,-0.3985994282820026,-0.4770749953588235,1.6532858630484353
-0.0205036355904896,-0.4173598420528219,-0.456500452049224,1.8630161913084875
-0.016691635301819,-0.3291752370996296,-0.4644203652853617,-0.2833814752411014
-0.0161221739798812,-0.3184956583744098,-0.4451916364934309,-0.100618253840402
-0.0156832313638101,-0.3102323532037115,-0.4258482255705563,0.0841971472198511
-0.0153723164189314,-0.3043078341501107,-0.4063914986457274,0.2710169086834871
-0.0151865909714284,-0.3006315493389751,-0.3868231936754656,0.4597794564951452
-0.0151228519314951,-0.2990988222757834,-0.3671454319815508,0.6504079885689578
-0.0151775470113476,-0.299590412194585,-0.3473607015110176,0.8428098064781839
-0.0153466488434457,-0.3019709961585078,-0.3274720592386713,1.036874251349834
-0.0156257612516179,-0.3060893206067357,-0.3074829388716693,1.2324727537733675
-0.0160100435526335,-0.311777558894979,-0.2873972862953985,1.4294578540218932
-0.0164942081790551,-0.3188511253507993,-0.2672195620727486,1.6276627915205306
-0.0109721590588352,-0.224067384853458,-0.278134147901965,-0.5461271400316046
-0.0104100635467706,-0.211208093355171,-0.2589788878112035,-0.3674463859855968
-0.0099321574256619,-0.1999437009156504,-0.2397450373651491,-0.1873415884929378
-0.0095334580928308,-0.1901371396579402,-0.2204370164586616,-0.0059327130494092
-0.0092086523610412,-0.1816394673678717,-0.2010596158968207,0.176646968987692
-0.0089520875673521,-0.1742906148890413,-0.1816180118570145,0.3602516765768581
-0.0087578157209921,-0.1679198502493047,-0.1621177209804867,0.5447235458579789
-0.0086195994525922,-0.1623464648742385,-0.1425645956763102,0.7298933401710516
-0.0085309230741381,-0.1573809020139922,-0.1229648104864467,0.9155817460338564
-0.0084850204796552,-0.1528261126574918,-0.1033248287560086,1.1016009108278644
-0.0084749196704679,-0.1484792273055302,-0.0836513528800797,1.2877563924844342
-0.001747357739588,-0.0513709814741982,-0.0966374879890978,-0.9005612450245561
-0.0013565360512909,-0.0399792940069833,-0.0773501819286727,-0.7215110769152908
-0.0009931805484471,-0.0293281754155255,-0.0580361997319098,-0.5417579983954381
-0.000650550010943,-0.0192379940023543,-0.0387020629865799,-0.3614713347279914
-0.0003217954115908,-0.0095244348489389,-0.0193544201555521,-0.1808258480924551
0.0,0.0,0.0,0.0
0.0003217954115908,0.0095244348489389,0.0193544201555521,0.1808258480924552
0.0006505500109433,0.019237994002353,0.0387020629865794,0.3614713347279935
0.0009931805484467,0.0293281754155273,0.0580361997319106,0.5417579983954354
0.0013565360512909,0.0399792940069833,0.0773501819286727,0.7215110769152908
0.001747357739588,0.0513709814741982,0.0966374879890978,0.9005612450245561
0.0084749196704681,0.1484792273055345,0.0836513528800795,-1.28775639248444
0.0084850204796568,0.1528261126575202,0.1033248287560068,-1.1016009108279006
0.0085309230741376,0.1573809020139869,0.1229648104864477,-0.9155817460338492
0.0086195994525921,0.1623464648742373,0.1425645956763104,-0.7298933401710517
0.0087578157209894,0.167919850249354,0.1621177209804886,-0.544723545858052
0.0089520875673548,0.1742906148890702,0.1816180118570117,-0.3602516765768906
0.0092086523610445,0.1816394673678316,0.2010596158968176,-0.1766469689876365
0.0095334580928307,0.1901371396579405,0.2204370164586654,0.0059327130494431
0.0099321574256618,0.199943700915649,0.2397450373651494,0.1873415884929401
0.0104100635467706,0.2112080933551701,0.2589788878112037,0.3674463859855979
