theta1,theta2,omega1,omega2
2.5132741228718345,5.654866776461628,0.6000000000000001,0.0
1.2566370614359172,3.769911184307752,-1.0,-0.8
0.0,0.0,-1.0,-1.0
0.0,0.0,-1.0,0.8
6.283185307179586,0.0,1.0,-1.0
6.283185307179586,6.283185307179586,-1.0,1.0
0.0,6.283185307179586,-1.0,1.0
6.283185307179586,0.0,-1.0,1.0
6.283185307179586,6.283185307179586,1.0,-1.0
0.0,2.5132741228718345,1.0,1.0
0.0,6.283185307179586,1.0,-1.0
6.283185307179586,3.141592653589793,1.0,1.0
6.283185307179586,3.141592653589793,-1.0,-1.0
2.5132741228718345,0.0,1.0,1.0
0.0,0.0,1.0,-1.0
3.769911184307752,0.0,-1.0,-1.0
3.769911184307752,6.283185307179586,-1.0,-1.0
0.0,6.283185307179586,1.0,1.0
6.283185307179586,6.283185307179586,1.0,1.0
6.283185307179586,0.0,1.0,1.0
0.0,6.283185307179586,-1.0,-1.0
6.283185307179586,0.0,-1.0,-1.0
6.283185307179586,6.283185307179586,-1.0,-1.0
0.0,0.0,1.0,1.0
3.141592653589793,3.141592653589793,-1.0,1.0
3.769911184307752,2.5132741228718345,1.0,-1.0
0.0,3.141592653589793,1.0,-1.0
3.769911184307752,6.283185307179586,1.0,1.0
0.0,3.141592653589793,-1.0,1.0
6.283185307179586,0.0,-1.0,1.0
2.5132741228718345,6.283185307179586,-1.0,1.0
6.283185307179586,4.39822971502571,1.0,-1.0
2.5132741228718345,0.0,1.0,-1.0
2.5132741228718345,0.0,-1.0,1.0
6.283185307179586,3.769911184307752,-1.0,1.0
1.884955592153876,6.283185307179586,1.0,-1.0
0.0,1.884955592153876,-1.0,-1.0
6.283185307179586,1.884955592153876,1.0,-1.0
4.39822971502571,0.0,1.0,1.0
0.0,5.026548245743669,1.0,1.0
2.5132741228718345,3.141592653589793,1.0,1.0
0.0,0.0,-1.0,1.0
0.0,6.283185307179586,-1.0,-1.0
1.884955592153876,1.2566370614359172,-0.1999999999999999,-1.0
4.39822971502571,3.769911184307752,-1.0,-1.0
5.026548245743669,1.884955592153876,-1.0,1.0
4.39822971502571,6.283185307179586,1.0,-1.0
5.026548245743669,5.026548245743669,0.0,1.0
0.0,4.39822971502571,-1.0,-1.0
5.026548245743669,0.0,0.0,-0.1999999999999999
2.5132741228718345,4.39822971502571,1.0,-1.0
5.026548245743669,6.283185307179586,-1.0,0.2000000000000001
1.884955592153876,0.0,-1.0,-1.0
1.884955592153876,6.283185307179586,1.0,1.0
1.2566370614359172,1.884955592153876,-1.0,1.0
0.0,0.0,1.0,-1.0
6.283185307179586,1.2566370614359172,0.0,1.0
1.2566370614359172,1.2566370614359172,1.0,0.0
6.283185307179586,6.283185307179586,1.0,1.0
4.39822971502571,1.884955592153876,1.0,1.0
1.2566370614359172,5.026548245743669,-1.0,1.0
1.884955592153876,6.283185307179586,-1.0,-1.0
4.39822971502571,0.0,1.0,-1.0
3.769911184307752,1.884955592153876,-1.0,-1.0
6.283185307179586,5.026548245743669,-1.0,-1.0
4.39822971502571,0.0,-1.0,1.0
4.39822971502571,4.39822971502571,1.0,0.2000000000000001
0.6283185307179586,6.283185307179586,0.0,0.0
6.283185307179586,6.283185307179586,0.0,0.0
0.0,1.2566370614359172,0.0,1.0
6.283185307179586,1.2566370614359172,-1.0,-0.1999999999999999
0.6283185307179586,3.141592653589793,0.2000000000000001,0.2000000000000001
