theta,omega
-3.2412602089789435,-0.9950166389221773
-3.1774772910985107,-0.9886958127790293
-3.1136949796570534,-0.9823804483676667
-3.049914537011361,-0.9760961023373499
-2.986137253722858,-0.9698681998633562
-2.922364290321684,-0.9637219606642887
-2.858597063338886,-0.9576822147004389
-2.7948366869114865,-0.9517734022241187
-2.7310843476463607,-0.9460194109519203
-2.6673411690349016,-0.9404434838957387
-2.6036083342731984,-0.9350681634379854
-2.5398868784997735,-0.9299151417573861
-2.476177829884712,-0.9250052100499311
-2.4124821660545157,-0.9203581651542551
-2.3488008102190707,-0.9159927293912291
-2.285134627496868,-0.9119264750293126
-2.2214844214628586,-0.9081757536451824
-2.1578509309418314,-0.9047556306672224
-2.0942348188263438,-0.9016798195484281
-2.030636695232136,-0.8989606426853919
-1.967057088362268,-0.8966089697360238
-1.9034964507516647,-0.8946341780845889
-1.8399551585173308,-0.8930441172239242
-1.7764335093833867,-0.8918450834652136
-1.7129317230305314,-0.8910417866778586
-1.6494499373090772,-0.8906373277231135
-1.5859882110932453,-0.8906332161631864
-1.5225465219083554,-0.8910293417064551
-1.459124766650632,-0.8918239834825953
-1.395722762054305,-0.893013818985758
-1.3323402419799601,-0.8945939591827647
-1.268976871172565,-0.8965578939681632
-1.2056322294448183,-0.8988976303073328
-1.1423058238507044,-0.9016036551651301
-1.0789970883340352,-0.9046649923634964
-1.0157053858486622,-0.9080692485328916
-0.9524300094436662,-0.9118026672984225
-0.8891701900830078,-0.915850173612851
-0.8259250949810875,-0.9201954474951177
-0.7626938324551531,-0.9248209858872988
-0.6994754555245735,-0.9297081732259369
-0.6362689657465304,-0.9348373562697186
-0.5730733187811283,-0.9401879207779197
-0.5098874222659305,-0.9457383806489504
-0.4467101486833445,-0.9514664554365386
-0.3835403339868925,-0.9573491629569036
-0.3203767882525905,-0.9633629076313439
-0.25721829447732214,-0.969483578103538
-0.19406361510686104,-0.9756866410165428
-0.13091149739425031,-0.9819472375989968
-0.0677606782328984,-0.9882402822915166
-0.00460989014796139,-0.9945405615402266
0.05854213570928167,-1.0008228318421815
0.12169666257768146,-1.0070619215551435
0.18485494371176955,-1.0132328294676518
0.24801821737823007,-1.0193108235332196
0.31118770190665807,-1.0252715386131532
0.3743645908077203,-1.0310910728723897
0.4375500481621853,-1.0367460826026966
0.5007452053989593,-1.0422138714177365
0.5639511528776556,-1.0474724870799077
0.6271689363227397,-1.0525008079892735
0.6903995585691656,-1.057278617058757
0.753643968750101,-1.06178669684167
0.8169030610336276,-1.0660068983074849
0.8801776710735101,-1.069922215044996
0.9434685724269939,-1.0735168525178818
1.0067764735831224,-1.0767762909456218
1.0701020145494557,-1.0796873476251156
1.133445764677062,-1.0822382292013948
1.1968082206006798,-1.0844185787657783
1.2601898038623685,-1.0862195202970246
1.3235908591883798,-1.0876336959262285
1.3870116530712628,-1.0886552972401147
1.450452372656967,-1.0892800904852333
1.5139131249459081,-1.0895054355369238
1.5773939421008756,-1.0893302984086326
1.640894758656417,-1.088755257088762
1.70441544489332,-1.0877825030786576
1.7679557855360952,-1.0864158327999323
1.8315154863348457,-1.0846606338961915
1.8950941747451444,-1.0825238664652115
1.9586914014810346,-1.0800140366084714
2.022306642346973,-1.0771411636325494
2.0859393009149207,-1.073916739125056
2.1495887083192033,-1.0703536906481352
2.2132541307929237,-1.0664663163434733
2.2769347732953937,-1.0622702402719486
2.3406297695612706,-1.0577823404710283
2.40433819996721,-1.0530206894917717
2.4680590902361477,-1.0480044797038544
2.5317913739238387,-1.0427539492155062
2.5955340521279333,-1.0372902734781466
2.659285979903723,-1.0316355229702947
2.7230460073120955,-1.0258125440753048
2.7868128276172976,-1.0198448612591824
2.8505854549354757,-1.0137566246209821
2.9143625465239964,-1.0075724479835215
2.9781428494695374,-1.001317349702404
3.041925098200102,-0.9950166389085127
-3.239246727792161,-0.9749154547890029
-3.175463805869314,-0.968594410584092
-3.111681504159058,-0.9622792349004763
-3.0479010856087827,-0.9559954858104011
-2.984123838618095,-0.949768582524345
-2.920350921222717,-0.9436237394106526
-2.856583758622502,-0.93758578405425
-2.7928234586939307,-0.9316791485492406
-2.72907120810123,-0.9259277115611352
-2.665328129193472,-0.9203547065435006
-2.6015954070563496,-0.9149826617329871
-2.5378740750079496,-0.9098332572391945
-2.4741651607573383,-0.904927269304003
-2.41046964143248,-0.9002844786307569
-2.3467884396827046,-0.8959235901504369
-2.283122420016169,-0.8918621575601827
-2.2194723853553366,-0.8881165127623097
-2.155839073835592,-0.8847017004904989
-2.0922231493411787,-0.8816314140235467
-2.028625217204055,-0.8789179504935364
-1.965045807443482,-0.8765721577599008
-1.9014853716739546,-0.8746033893396212
-1.8379442851335643,-0.8730194703133672
-1.7744228447111146,-0.871826671928543
-1.7109212692359246,-0.871029678857163
-1.6474396956085642,-0.8706315670327821
-1.5839781818923215,-0.8706338200793247
-1.520536704752965,-0.8710363020742928
-1.4571151602304453,-0.8718372665833176
-1.3937133642086939,-0.87303336570635
-1.330331053209596,-0.8746196655211966
-1.2669678808025446,-0.876589689746779
-1.2036234362010216,-0.8789353631614979
-1.1402972222989125,-0.8816471680711361
-1.0769886722677138,-0.8847141052244174
-1.0136971485154331,-0.8881237584127921
-0.950421943100092,-0.8918623505875243
-0.8871622863699952,-0.8959147858343098
-0.823917344914182,-0.9002647245122275
-0.760686226438896,-0.9048946450317354
-0.697467983404417,-0.9097859144450393
-0.6342616168215374,-0.9149188633239723
-0.5710660816518318,-0.9202728627609877
-0.5078802857153066,-0.9258264123447907
-0.4447031004274897,-0.9315572200323857
-0.3815333618221687,-0.9374422925549201
-0.31836987929437527,-0.943458025315652
-0.25521143577407446,-0.949580298826845
-0.19205679350958665,-0.9557845734013324
-0.12890469960831344,-0.9620459854830289
-0.06575389087619604,-0.9683394462864094
-0.0026030997880268324,-0.9746397405992913
0.06054894248806025,-0.9809216248790792
0.12370349912457111,-0.9871599290012281
0.18686182325545178,-0.993329654850238
0.25002515297306527,-0.9994060750430114
0.31319470637873964,-1.0053648306555734
0.37637167671232796,-1.011182027609189
0.43955722779297035,-1.0168343314712838
0.5027524907849535,-1.0222990560912357
0.5659585552892602,-1.0275542620686444
0.6291764666463003,-1.032578841075482
0.6924072274395295,-1.0373525905112944
0.7556517860066595,-1.0418563094747546
